jax,pytorch,type,remark,jax 不支持精度,torch 不支持精度
jax.lax.erfc,torch.ops.aten.erfc.default,elementwise,互补误差函数,FP8_E4M3、FP8_E5M2,FP8_E4M3、FP8_E5M2
jax.lax.exp,torch.ops.aten.exp.default,elementwise,指数,,FP8_E4M3、FP8_E5M2
jax.lax.exp2,torch.ops.aten.exp2.default,elementwise,以 2 为底的指数,,FP8_E4M3、FP8_E5M2
jax.lax.expm1,torch.ops.aten.expm1.default,elementwise,e^x - 1,,FP8_E4M3、FP8_E5M2
jax.lax.floor,torch.ops.aten.floor.default,elementwise,向下取整,,FP8_E4M3、FP8_E5M2
jax.lax.ge,torch.ops.aten.ge.Tensor,elementwise,大于等于比较,,FP8_E4M3、FP8_E5M2
jax.lax.gt,torch.ops.aten.gt.Tensor,elementwise,大于比较,,FP8_E4M3、FP8_E5M2
jax.lax.igamma,torch.special.gammainc,elementwise,下不完全伽玛函数,,FP8_E4M3、FP8_E5M2
jax.lax.igammac,torch.special.gammaincc,elementwise,上不完全伽玛函数,,FP8_E4M3、FP8_E5M2
jax.lax.integer_pow,torch.ops.aten.pow.Tensor_Tensor,elementwise,整数幂,,FP8_E4M3、FP8_E5M2
jax.lax.is_finite,torch.ops.aten.isfinite.default,elementwise,是否为有限值,,FP8_E4M3
jax.lax.le,torch.ops.aten.le.Tensor,elementwise,小于等于比较,,FP8_E4M3、FP8_E5M2
jax.lax.lgamma,torch.ops.aten.lgamma.default,elementwise,伽玛函数对数,,FP8_E4M3、FP8_E5M2
jax.lax.log,torch.ops.aten.log.default,elementwise,自然对数,,FP8_E4M3、FP8_E5M2
jax.lax.log1p,torch.ops.aten.log1p.default,elementwise,ln(1+x),,FP8_E4M3、FP8_E5M2
jax.lax.logistic,torch.ops.aten.sigmoid.default,elementwise,Sigmoid/逻辑函数,,FP8_E4M3、FP8_E5M2
jax.lax.lt,torch.ops.aten.lt.Tensor,elementwise,小于比较,,FP8_E4M3、FP8_E5M2
jax.lax.max,torch.ops.aten.maximum.default,elementwise,逐元素最大值,,FP8_E4M3、FP8_E5M2
jax.lax.min,torch.ops.aten.minimum.default,elementwise,逐元素最小值,,FP8_E4M3、FP8_E5M2
jax.lax.mul,torch.ops.aten.mul.Tensor,elementwise,乘法,,
jax.lax.ne,torch.ops.aten.ne.Tensor,elementwise,不等于比较,,
jax.lax.neg,torch.ops.aten.neg.default,elementwise,取负,,FP8_E4M3、FP8_E5M2
jax.lax.nextafter,torch.ops.aten.nextafter.default,elementwise,朝向下一个可表示浮点,,FP8_E4M3、FP8_E5M2
jax.lax.polygamma,torch.ops.aten.special_polygamma.default,elementwise,多伽玛函数,,FP8_E4M3、FP8_E5M2
jax.lax.pow,torch.ops.aten.pow.Tensor_Tensor,elementwise,幂,,FP8_E4M3、FP8_E5M2
jax.lax.reciprocal,torch.ops.aten.reciprocal.default,elementwise,倒数,,FP8_E4M3、FP8_E5M2
jax.lax.rem,torch.ops.aten.fmod.Tensor,elementwise,余数,,FP8_E4M3、FP8_E5M2
jax.lax.round,torch.ops.aten.round.default,elementwise,四舍五入,,FP8_E4M3、FP8_E5M2
jax.lax.rsqrt,torch.ops.aten.rsqrt.default,elementwise,反平方根,,FP8_E4M3、FP8_E5M2
jax.lax.shift_left,torch.ops.aten.bitwise_left_shift.Tensor,elementwise,按位左移,,
jax.lax.shift_right_arithmetic,torch.ops.aten.bitwise_right_shift.Tensor,elementwise,按位算术右移,,
jax.lax.sign,torch.ops.aten.sign.default,elementwise,符号,,FP8_E4M3、FP8_E5M2
jax.lax.sin,torch.ops.aten.sin.default,elementwise,正弦,,FP8_E4M3、FP8_E5M2
jax.lax.sinh,torch.ops.aten.sinh.default,elementwise,双曲正弦,,FP8_E4M3、FP8_E5M2
jax.lax.sqrt,torch.ops.aten.sqrt.default,elementwise,平方根,,FP8_E4M3、FP8_E5M2
jax.lax.square,torch.ops.aten.square.default,elementwise,平方,,FP8_E4M3、FP8_E5M2
jax.lax.sub,torch.ops.aten.sub.Tensor,elementwise,减法,,FP8_E4M3、FP8_E5M2
jax.lax.tan,torch.ops.aten.tan.default,elementwise,正切,,FP8_E4M3、FP8_E5M2
jax.lax.tanh,torch.ops.aten.tanh.default,elementwise,双曲正切,,FP8_E4M3、FP8_E5M2
jax.lax.zeta,torch.ops.aten.special_zeta.default,elementwise,黎曼ζ函数,,BF16、FP8_E4M3、FP8_E5M2
jax.lax.argmax,torch.ops.aten.argmax.default,reduction,最大值索引,,FP8_E4M3、FP8_E5M2
jax.lax.argmin,torch.ops.aten.argmin.default,reduction,最小值索引,,FP8_E4M3、FP8_E5M2
jax.lax.cumlogsumexp,torch.ops.aten.logcumsumexp.default,reduction,累积 log-sum-exp,,FP8_E4M3、FP8_E5M2
jax.lax.cummax,torch.ops.aten.cummax.default,reduction,累积最大值,,FP8_E4M3、FP8_E5M2
jax.lax.cummin,torch.ops.aten.cummin.default,reduction,累积最小值,,FP8_E4M3、FP8_E5M2
jax.lax.cumprod,torch.ops.aten.cumprod.default,reduction,累积乘积,,FP8_E4M3、FP8_E5M2
jax.lax.cumsum,torch.ops.aten.cumsum.default,reduction,累积和,,FP8_E4M3、FP8_E5M2
jax.lax.reduce_and,torch.ops.aten.all.default,reduction,逻辑与归约,,
jax.lax.reduce_max,torch.ops.aten.amax.default,reduction,最大值归约,,
jax.lax.reduce_min,torch.ops.aten.amin.default,reduction,最小值归约,,
jax.lax.reduce_or,torch.ops.aten.any.default,reduction,逻辑或归约,,
jax.lax.reduce_prod,torch.ops.aten.prod.default,reduction,乘积归约,,
jax.lax.reduce_sum,torch.ops.aten.sum.default,reduction,求和归约,,
jax.lax.top_k,torch.ops.aten.topk.default,reduction,Top-K,,
jax.lax.cholesky,torch.ops.aten.linalg_cholesky.default,linalg,Cholesky 分解,,
jax.lax.eig,torch.ops.aten.linalg_eig.default,linalg,特征分解,,
jax.lax.eigh,torch.ops.aten.linalg_eigh.default,linalg,对称/厄米特特征分解,,
jax.lax.eigvals,torch.ops.aten.linalg_eigvals.default,linalg,特征值分解,,
jax.lax.householder_product,torch.ops.aten.linalg_householder_product.default,linalg,Householder 乘积,,
jax.lax.lu,torch.ops.aten.linalg_lu.default,linalg,LU 分解,,
jax.lax.qr,torch.ops.aten.linalg_qr.default,linalg,QR 分解,,
jax.lax.svd,torch.ops.aten.linalg_svd.default,linalg,奇异值分解,,
jax.lax.triangular_solve,torch.ops.aten.linalg_solve_triangular.default,linalg,三角矩阵求解,,
jax.lax.dot,torch.ops.aten.einsum.default,other,点积/矩阵乘,,
jax.lax.sort,torch.ops.aten.sort.default,other,排序,,FP8_E4M3、FP8_E5M2
